soc_code,edu_mean,edu_p50,edu_p75,edu_p90,n_wt
435052,14.221,14,16,18,310195
435053,14.36,14,16,18,63295
435061,15.256,14,18,18,293200
435071,13.364,13,14,16,517783
537065,13.43,13,14,18,1167872
435111,13.72,14,16,18,70976
439021,14.704,14,16,18,307450
439022,14.625,14,16,18,264825
439041,14.973,14,18,18,351464
439051,13.735,13,14,18,67878
439061,14.643,14,16,18,1122241
439071,14.075,14,16,18,32593
439081,16.706,18,18,19,10111
439111,14.631,14,18,18,17939
152099,14.631,14,18,18,17939
451011,12.566,12.5,14,18,58119
452011,15.092,14,18,18,13518
452041,11.279,12.5,14,14,45299
454011,13.865,14,16,18,11447
471011,13.443,13,14,18,737978
472011,13.058,12.5,14,14,14222
472031,12.672,12.5,14,16,1108065
472061,12.219,12.5,14,14,1556425
472071,11.776,12.5,12.5,14,10887
472111,13.794,14,14,16,724213
472121,12.737,12.5,14,14,33909
472161,11.586,12.5,14,14,33139
472181,11.584,12.5,14,14,187792
472211,13.013,12.5,14,16,115273
472221,13.182,13,14,16,51556
474021,13.582,13,14,16,23402
474031,12.16,12.5,14,14,24433
474041,12.756,12.5,14,16,27989
474051,12.979,12.5,14,14,101965
474061,13.185,12.5,14,14,13390
475023,13.118,12.5,14,14,23609
475032,13.644,13.25,15,16,33995
491011,14.077,14,16,18,268562
492011,15.269,14,18,18,180892
492091,15.068,14,16,18,19059
492092,13.867,14,16,16,21198
492096,14.267,14,16,18,9570
492097,14.246,14,16,18,35402
492098,13.672,14,14,18,52918
493011,14.485,14,16,18,159033
493021,12.573,12.5,14,16,131779
493022,13.036,12.5,14,14,16243
493023,13.023,12.5,14,16,732243
493031,13.322,13,14,16,267787
499021,13.514,14,14,16,340051
499031,13.589,14,14,16,37032
499043,13.398,13,14,16,32201
499044,13.387,13,14,16,43393
499051,13.805,14,14,16,106721
499052,13.844,14,14,16,140183
499071,13.369,13,14,16,474871
499091,13.841,13,14,18,30211
499094,13.357,13,14,16,23554
499096,13.422,13,14,16,8981
499098,12.24,12.5,14,16,15449
511011,13.941,14,16,18,852557
512011,13.062,12.5,14,14,6916
512031,12.866,12.5,14,16,10592
512041,13.292,12.5,14,16,26053
513011,12.922,12.5,14,16,188806
513091,12.609,12.5,14,16,8868
513092,12.906,12.5,14,16,74799
513093,13.114,13,14,16,7592
513099,12.227,12.5,14,14,118182
514021,13.284,13,14,16,11088
514022,13.133,12.5,14,18,7683
514023,13.461,13,14,16,7676
514041,13.298,13,14,16,325568
514111,13.592,14,14,16,53545
515111,14.124,14,16,18,20826
515112,13.478,13,14,18,168965
515113,13.257,12.5,14,18,21121
516011,12.175,12.5,14,16,167024
516021,11.469,12.5,13,14,39377
516031,11.815,12.5,14,14,180153
516063,12.761,12.5,14,18,7813
516064,11.763,12.5,13,14,11652
516093,12.282,12.5,14,16,29357
517011,13.05,12.5,14,18,42000
517021,13.171,13,14,18,12355
517041,12.617,12.5,14,14,29633
517042,12.848,12.5,14,16,11407
518021,13.961,14,14,18,93258
518031,14.123,14,16,18,79506
519041,12.602,12.5,14,14,22341
519051,12.438,12.5,14,14,13663
519061,13.991,14,16,18,718152
519071,13.955,14,18,18,41439
