occ,log_wage,log_edu,cog,status_pc1
111011,12.0731696268659,1.93113003067586,0.825781684093549,2.94015713873122
111021,11.4899638533329,1.60003288742013,0.71192139967425,1.36644807835661
112011,11.4709569801477,1.68262555320359,0.829108261258574,1.94184279295171
112021,11.765627818526,1.79175946922806,0.831449249357019,2.43385955830407
112022,11.6427249025051,1.75951172167793,0.791093859507251,2.07247494225963
113012,11.3633808276902,1.45783091605807,0.816050383488184,1.50630095282834
113013,11.3633808276902,1.76447207032803,0.813453056703784,1.8316182402634
113021,11.7875222978734,1.89721996988821,0.738990678238509,2.17564163301747
113031,11.678355154094,1.85083137683148,0.839422682826864,2.42603283940444
113051,11.450411559581,1.36154300267843,0.67867279013365,0.911916516010997
113061,11.5909970003904,1.79175946922806,0.789567742656093,2.03769329309414
113071,11.3694014548842,1.79551490872947,0.783494643728999,1.74319740054527
113111,11.6211518700411,1.82301585887861,0.896018312985572,2.57059755634118
113121,11.5563680228131,1.85770325252209,0.858151064450277,2.36488501895228
113131,11.5389829992895,1.83921541038435,0.822878427985316,2.17029684004721
119013,11.0692910907446,1.75275873187832,0.656819346721961,0.77827217880998
119021,11.3782505616436,1.73828836654008,0.701836532958743,1.337207797509
119031,10.729196906179,1.75228669910857,0.823387142133978,1.08205860665241
119032,11.4121101597314,2.10155766724454,0.802144388849178,2.21245843679503
119033,11.3916613774772,2.10575479154742,0.868139261086506,2.47807625327697
119041,11.7965995160245,1.93525464011546,0.768386856260318,2.3559978799455
119051,10.7932289491767,1.02439148963685,0.692510388162562,-0.205670911811256
119071,11.1328356631933,1.19935260859385,0.758314975014776,0.68897743368455
119081,10.8141625456246,1.40086272529529,0.737154709154332,0.426844357740509
119111,11.4563551134818,1.92097069560692,0.84659660981148,2.26134071692776
119121,11.696579466998,2.09564702071426,0.792443975126129,2.51345507237569
119131,11.1653518352778,1.1299786604639,0.786873840445269,0.776609054606276
119141,10.921973796725,1.35928281187304,0.832060017895244,0.925164505942463
119151,11.0592675142606,1.83418018511201,0.809195286534394,1.51599074873794
119161,11.1173611815393,1.7793638292443,0.723275347684399,1.15467788077849
119179,11.4563551134818,1.75716802445844,0.774085456161138,1.76715548037887
119199,11.5602860363301,1.8884899231508,0.812246553122466,2.20446106365126
131011,11.0499371706184,1.65458334740208,0.854404945904173,1.50341300866493
131021,10.9379168124273,1.20024549449188,0.71746147755649,0.27331941010037
131022,10.8769144757811,1.35725167566716,0.756536932160501,0.540118788868257
131023,11.0384317704516,1.50206446216197,0.862742456896552,1.35801571810615
131031,11.050572494655,1.61081689220775,0.802481227554685,1.23102586194043
131032,11.0669508135239,1.43908168839923,0.766536698816609,0.906802418880959
131041,11.091940545204,1.67802726241891,0.708303293399396,0.947296935189502
131051,11.0085788073019,1.76765460054905,0.768245757900713,1.20313923102506
131071,10.9742146377147,1.55791833559679,0.850461301896464,1.28716748454051
131074,10.3388350351262,0.536861102370283,0.6596766863598,-1.4414964669808
131081,11.2153277277311,1.91745477027203,0.789368390968848,1.71319063321497
131111,11.3061472677423,1.79855233048489,0.859397944199706,1.99790545528736
131121,10.7544928177117,1.65131305756706,0.732745314222712,0.609308764795371
131141,11.0161670984157,1.76510473691957,0.851982561760432,1.57272665946375
131151,10.9718124402658,1.81749219112366,0.85428505160617,1.58571076384977
131161,11.0373060969389,1.77164681867765,0.779057110374689,1.28969534983609
131199,11.1297598643568,1.20402280307598,0.648578137229324,0.214532367699009
132011,11.1152797059142,1.81960969293914,0.842209659823465,1.71196512981592
132023,11.1152797059142,1.46426965180762,0.741143243077301,0.883734087593803
132031,11.1787106783902,1.75471882641544,0.868239316239316,1.8315381918223
132041,11.1516686115264,1.64217290052734,0.83376251788269,1.52529342233705
132052,11.3981877874998,1.64163401065042,0.888062812673708,2.0630461242877
132053,11.0827577442217,1.7525200911004,0.869109947643979,1.71499703729389
132061,11.2645923025824,1.80164379130203,0.859007678676905,1.94854579190145
132071,10.6883019216219,1.54798795011788,0.823640550274547,0.808662907220375
132072,11.0576922146279,1.34533121786223,0.864793011773642,1.21853760003245
132081,10.847976938769,1.47812120843242,0.819584849710204,0.910591925569518
132082,10.5036967374368,1.37034441668949,0.847397869241971,0.489847379553141
132099,11.1075103556121,1.75457288944237,0.816224685197006,1.51836770386967
151211,11.3074990344612,1.80308673945373,0.757539671550029,1.5629112496126
151212,11.3074990344612,1.77948320316033,0.759329915345177,1.54476534520876
151221,11.3074990344612,2.17013015593691,0.775981915795423,2.04575027757001
151232,11.3074990344612,1.50820221135322,0.692355082609913,0.956612755376449
151241,11.3074990344612,1.71144380763932,0.716803350200663,1.28569855807457
151242,11.3074990344612,1.71289662080233,0.763122215766028,1.48812036532215
151243,11.3074990344612,1.73275007956521,0.76208640648954,1.5054211122513
151244,11.3074990344612,1.70998888073899,0.677283585485155,1.11275365189989
151251,11.3074990344612,1.68402576942467,0.787017834923268,1.56003634088865
151253,11.3074990344612,1.75586698910571,0.761995599426714,1.53040121806251
151254,11.3074990344612,1.55463812745277,0.766152122494709,1.32754795793044
151255,11.3074990344612,1.7036366323553,0.762677120046033,1.4760264953913
151299,11.3074990344612,1.67489094208711,0.742508785259759,1.3570294358375
152011,11.4831876467063,1.99653536318408,0.854659763313609,2.41221323037597
152021,11.6182759805781,2.24545373761154,0.843482601254991,2.80296259036949
152031,11.2725085849856,2.08462806836714,0.844065615953683,2.20410001458651
152041,11.2911559692092,2.07348255153046,0.836956287101997,2.18395512032838
152051,11.4831876467063,1.8955445938217,0.792455817799555,2.03166175455386
152099,11.1005867879189,1.72439724716855,0.808309622820457,1.44242088193652
171011,11.2398035438498,2.0784160160081,0.713088420170415,1.58921025553345
171012,11.0636651968624,1.89018600028295,0.749495255400767,1.32402352393177
171021,11.032952304687,1.59296128102963,0.744204583194952,0.937102983370403
171022,10.9685430576754,1.72420306552707,0.648135642274854,0.585483616781518
172011,11.5883111918761,1.80868381461869,0.726231507503049,1.77835950517064
172021,11.2264426730939,1.84125883471901,0.692696095585662,1.22406601223517
172031,11.3646574483011,1.87749482221725,0.663791833728828,1.30835002218376
172041,11.4861707276614,1.88706964903238,0.709454185961809,1.66615030626469
172051,11.3171538604519,1.84538183248362,0.702784159687739,1.38379267156209
172061,11.6238405255414,1.7911426123443,0.755350772889417,1.92901651549486
172071,11.4404622932365,1.82961335965247,0.707467867020988,1.53830790404779
172072,11.4954740713565,1.81811184537245,0.646714693226321,1.32986871247836
172081,11.3452166205441,1.82212700584445,0.702883472057075,1.39318030304495
172111,11.3456895455943,1.83233610031583,0.703457357012628,1.40745544768446
172112,11.3322425648448,1.81828238411258,0.66340333745778,1.20184229239564
172121,11.4415368688826,1.83607136694579,0.659726252660089,1.33972095630842
172131,11.4220155896104,1.92170527464419,0.706558485463151,1.61278146648296
172141,11.3336791746932,1.87489707279778,0.677572059751736,1.32718161556821
172151,11.451475502654,1.90391615657339,0.708795460407532,1.63915356052993
172161,11.5419987124559,1.99662053298883,0.698506565099729,1.80752939547472
172171,11.7752128034021,1.81828517654522,0.73402436418038,2.05234234667063
172199,11.4710612608715,1.84126904270686,0.658878458546793,1.37802848662318
173011,10.8338784087891,1.67725263910247,0.704872096176444,0.614474853693751
173012,10.994067669507,1.40388954158568,0.74127917463295,0.669108574709708
173013,10.8878106948021,1.55437473935848,0.68874260256666,0.47593637462599
173021,11.1001335814756,1.72606472436582,0.623726875909374,0.643389097357659
173022,10.8048676716745,1.36695862481315,0.705514823079375,0.241026340536651
173023,11.0207580230228,1.60352043867006,0.611230211081794,0.357165239040969
173024,10.884441797736,1.54664719632839,0.584674015292216,0.0120991627685381
173025,10.7924070876142,1.5068178084433,0.618570543276183,0.00226012179052429
173026,10.8926569298229,1.61082195420626,0.618583080121542,0.239655034617223
173027,10.8950712684457,1.57474900158323,0.592493362007857,0.0899083236404608
173029,11.0228823803868,1.62709444767154,0.596848346491645,0.323294890753427
173031,10.6456629641634,1.36186077747862,0.65119433142351,-0.19571293925699
191011,11.0085788073019,2.2212448772542,0.775133272306284,1.73087627095287
191012,11.094982835351,1.91803963513838,0.693804070610592,1.15161499374657
191013,11.0029328275081,2.16715780799615,0.689627948287773,1.29384118024984
191021,11.3163021234654,2.22881702906838,0.693989348212021,1.76548409699548
191022,11.1206233433883,2.17162182847523,0.717825083354707,1.56560958427562
191023,10.9967522348776,1.95838910485111,0.705064757291776,1.12402606228742
191029,11.2272413951811,2.26090998532343,0.742495908494146,1.9015889911141
191031,11.020430797889,1.74708014793074,0.67524438656227,0.791888308093349
191032,10.9721559648312,1.79175946922806,0.681427125506073,0.8084186001712
191041,11.1483623481825,2.18603891587506,0.857402511566424,2.22069188245701
191042,11.317397080689,2.32779464511888,0.791304347826087,2.29740416250115
192011,11.5531072546031,2.44776710283854,0.804013335042954,2.77382254190579
192012,11.6224971013995,2.2228248171857,0.756448490556166,2.40595272321653
192021,11.4055629466417,1.81962054501378,0.824911490183457,1.99366328694867
192031,11.1740904391598,1.90343500311864,0.66557095175483,1.11037650199395
192032,11.418614785499,2.13318894299417,0.722281703545087,1.90890560612804
192041,11.1192901086156,1.85961402907269,0.702034809966002,1.15303939512295
192042,11.4042260480469,1.92239291686326,0.762697224461592,1.83508096445494
192043,11.2841410337659,1.94592443323915,0.675662193844465,1.33599248643687
192099,11.4838055663964,1.94589586466743,0.772831385446644,2.00260142265449
193011,11.5046916600431,2.15142025014558,0.891697729583192,2.76923021394393
193022,10.8952567455862,1.75287606624934,0.830333871167929,1.31687158726977
193032,11.2560958560012,2.22689911103712,0.867607070020394,2.44216375003866
193033,11.5046916600431,2.29527510669468,0.898782594390063,2.95784790157229
193034,11.5046916600431,2.29527510669468,0.898782594390063,2.95784790157229
193039,11.4573070412072,2.47999460542698,0.831611893583725,2.81114201657472
193041,11.2085718582305,2.27814647354723,0.925005122600915,2.68888286031926
193051,11.1304930559726,1.92848298382802,0.798605464303139,1.66110421956343
193091,11.0222292124994,2.2401510226125,0.800404284364171,1.87797009121396
193092,11.2153277277311,2.04898233419513,0.841251996923259,2.08251378114235
193093,10.9295291483694,2.07275674815111,0.812782054685426,1.6339943795361
193094,11.5102218133959,2.32833080941246,0.915063668382552,3.07151676035686
194012,10.5045194441883,1.55922831344835,0.657704792820317,-0.124279312369402
194013,10.5045194441883,1.53697098284497,0.669549046954905,-0.0973558760665248
194021,10.637056647595,1.78964055925639,0.643782920044978,0.231122057725199
194031,10.7068335253941,1.55989046159549,0.619039670617037,-0.0426005987427299
194042,10.5045194441883,1.72044247047701,0.623837238223151,-0.0941670995941392
194043,10.5045194441883,1.65333995872123,0.630703240260095,-0.138051568602679
194051,11.2930266438209,1.38236183510562,0.5833071196393,0.327898496350828
194061,10.6567886559158,1.90874218471367,0.805721889554225,1.08822477239337
194071,10.5045194441883,1.26976054486394,0.603361660171839,-0.677626331186628
