flow,n,aioe_src_mean,aioe_src_sd,aioe_gap_mean,gpt_src_mean,gpt_src_sd,gpt_gap_mean,pct_aioe_valid,pct_gpt_valid
adoption,21546090,0.081,0.997,-0.123,-0.084,0.978,-0.086,100,82.3
abandonment,18632210,0.075,0.996,0,-0.087,0.979,0,100,81.9
