gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,atc_f,thr_label
2,-2.88282979680337,SC_Scaffolding,0.0915540307251707,0.0907549636742274,0.0923002173367884,550298,1,Specialized socio-cognitive,RCA ≥ 1.00
6,0.126166102556859,SC_Scaffolding,0.126142431531653,0.125317042682312,0.126947930091643,644787,1,Specialized socio-cognitive,RCA ≥ 1.00
1,-4.68844749231167,SC_Scaffolding,0.0776779741144779,0.0769730351711281,0.0783810398808303,560545,1,Specialized socio-cognitive,RCA ≥ 1.00
7,0.861759087300788,SC_Scaffolding,0.132292355873142,0.13157668386926,0.133129592871951,566775,1,Specialized socio-cognitive,RCA ≥ 1.00
8,1.68512074777628,SC_Scaffolding,0.136285231423431,0.135266750258954,0.137190426865834,458575,1,Specialized socio-cognitive,RCA ≥ 1.00
9,2.60985316263842,SC_Scaffolding,0.135471420748545,0.134376070678704,0.136770803744777,341489,1,Specialized socio-cognitive,RCA ≥ 1.00
10,4.58359589402531,SC_Scaffolding,0.127916006157098,0.12640384129391,0.12925551956257,217635,1,Specialized socio-cognitive,RCA ≥ 1.00
10,4.58359589402531,Physical_Terminal,0.0257673704592266,0.0255391264435205,0.0259723513280002,2074096,1,Physical-sensory,RCA ≥ 1.00
8,1.68512074777628,Physical_Terminal,0.0956008291791357,0.09516872328418,0.0960387920959763,1826867,1,Physical-sensory,RCA ≥ 1.00
9,2.60985316263842,Physical_Terminal,0.0521209244470794,0.0518347199539221,0.0524409228336027,2132042,1,Physical-sensory,RCA ≥ 1.00
7,0.861759087300788,Physical_Terminal,0.143276856210474,0.142672554029427,0.143852112147321,1318587,1,Physical-sensory,RCA ≥ 1.00
4,-1.30164794064186,Physical_Terminal,0.196237417357862,0.195116317421925,0.19728694872646,472973,1,Physical-sensory,RCA ≥ 1.00
6,0.126166102556859,Physical_Terminal,0.173458287343132,0.17266437785583,0.174174465510086,1004743,1,Physical-sensory,RCA ≥ 1.00
5,-0.57205401518073,Physical_Terminal,0.190169101917888,0.189209953330979,0.191032949173987,733463,1,Physical-sensory,RCA ≥ 1.00
3,-2.06803862642912,Physical_Terminal,0.208320184020253,0.206839396043284,0.209903448977159,285186,1,Physical-sensory,RCA ≥ 1.00
2,-2.88282979680337,Physical_Terminal,0.229134240431122,0.227133576564967,0.231039647872002,179253,1,Physical-sensory,RCA ≥ 1.00
1,-4.68844749231167,Physical_Terminal,0.230139546046767,0.227905566412947,0.232287809435644,116664,1,Physical-sensory,RCA ≥ 1.00
4,-1.30164794064186,SC_Specialized,0.0652369540606182,0.064643319066311,0.0658934843680956,620078,1.1,General socio-cognitive,RCA ≥ 1.10
5,-0.57205401518073,SC_Specialized,0.0782726252163295,0.077510355790836,0.078932568049307,588801,1.1,General socio-cognitive,RCA ≥ 1.10
3,-2.06803862642912,SC_Specialized,0.0501396694344653,0.0495995299569563,0.0506668539394458,573139,1.1,General socio-cognitive,RCA ≥ 1.10
2,-2.88282979680337,SC_Specialized,0.031711503039146,0.031218058489513,0.0321744704114228,524983,1.1,General socio-cognitive,RCA ≥ 1.10
1,-4.68844749231167,SC_Specialized,0.0195080312957894,0.019179643222471,0.0198372401233032,578736,1.1,General socio-cognitive,RCA ≥ 1.10
6,0.126166102556859,SC_Specialized,0.0817306437723441,0.0809995724376873,0.0825548052584142,498173,1.1,General socio-cognitive,RCA ≥ 1.10
7,0.861759087300788,SC_Specialized,0.0860816817818879,0.0851865071325571,0.0869314511804173,419555,1.1,General socio-cognitive,RCA ≥ 1.10
8,1.68512074777628,SC_Specialized,0.0861702934263401,0.0850892157606086,0.0871118924861627,316536,1.1,General socio-cognitive,RCA ≥ 1.10
9,2.60985316263842,SC_Specialized,0.0849266063404833,0.083729793366038,0.0861047172389981,208533,1.1,General socio-cognitive,RCA ≥ 1.10
10,4.58359589402531,SC_Specialized,0.079155672823219,0.0776271954372218,0.0807725451524924,112563,1.1,General socio-cognitive,RCA ≥ 1.10
4,-1.30164794064186,SC_Scaffolding,0.0665915131798429,0.0658935451585964,0.0672739998735328,458617,1.1,Specialized socio-cognitive,RCA ≥ 1.10
5,-0.57205401518073,SC_Scaffolding,0.0740800541797575,0.0732983609277835,0.0749346299697482,445923,1.1,Specialized socio-cognitive,RCA ≥ 1.10
3,-2.06803862642912,SC_Scaffolding,0.0568303707790409,0.0561743625200378,0.0574970934844327,422327,1.1,Specialized socio-cognitive,RCA ≥ 1.10
1,-4.68844749231167,SC_Scaffolding,0.0355544767354905,0.0350491476095554,0.0361209798628427,407853,1.1,Specialized socio-cognitive,RCA ≥ 1.10
2,-2.88282979680337,SC_Scaffolding,0.0458045012108184,0.0451373742762549,0.0464832002217654,382386,1.1,Specialized socio-cognitive,RCA ≥ 1.10
6,0.126166102556859,SC_Scaffolding,0.0789873925899619,0.078169738098363,0.0798578674716468,388581,1.1,Specialized socio-cognitive,RCA ≥ 1.10
7,0.861759087300788,SC_Scaffolding,0.0848248701690641,0.0837854009669342,0.0857757435771784,334666,1.1,Specialized socio-cognitive,RCA ≥ 1.10
8,1.68512074777628,SC_Scaffolding,0.0877810493567512,0.0866321497448433,0.0887814382425536,252002,1.1,Specialized socio-cognitive,RCA ≥ 1.10
9,2.60985316263842,SC_Scaffolding,0.0870180047452533,0.085639396252315,0.0883196951677702,169011,1.1,Specialized socio-cognitive,RCA ≥ 1.10
10,4.58359589402531,SC_Scaffolding,0.0867117003068634,0.0850806655796478,0.0886417496278142,98741,1.1,Specialized socio-cognitive,RCA ≥ 1.10
8,1.68512074777628,Physical_Terminal,0.0671257147197701,0.0666997556951975,0.0675035658892585,1540289,1.1,Physical-sensory,RCA ≥ 1.10
6,0.126166102556859,Physical_Terminal,0.151615126803652,0.150864681066651,0.152380034635957,821112,1.1,Physical-sensory,RCA ≥ 1.10
7,0.861759087300788,Physical_Terminal,0.119276243332046,0.118641521095814,0.119815296425326,1090477,1.1,Physical-sensory,RCA ≥ 1.10
4,-1.30164794064186,Physical_Terminal,0.159103184426691,0.157910782603803,0.160367742207719,355480,1.1,Physical-sensory,RCA ≥ 1.10
5,-0.57205401518073,Physical_Terminal,0.164060614050256,0.163070139995788,0.165062430554248,584089,1.1,Physical-sensory,RCA ≥ 1.10
3,-2.06803862642912,Physical_Terminal,0.153952522488829,0.152463560222821,0.155540150187981,203212,1.1,Physical-sensory,RCA ≥ 1.10
9,2.60985316263842,Physical_Terminal,0.0278504688185881,0.0276244707216725,0.0280797795911913,1833865,1.1,Physical-sensory,RCA ≥ 1.10
2,-2.88282979680337,Physical_Terminal,0.152036591677068,0.150010654814454,0.153821843891747,131396,1.1,Physical-sensory,RCA ≥ 1.10
10,4.58359589402531,Physical_Terminal,0.0103663958914101,0.0102226263312562,0.0105174927032785,1801494,1.1,Physical-sensory,RCA ≥ 1.10
1,-4.68844749231167,Physical_Terminal,0.142623978427221,0.140234296460125,0.144966943028468,84551,1.1,Physical-sensory,RCA ≥ 1.10
6,0.126166102556859,SC_Specialized,0.0386959622189632,0.0379531459530249,0.0394973068004969,222969,1.25,General socio-cognitive,RCA ≥ 1.25
4,-1.30164794064186,SC_Specialized,0.0331279464504251,0.03252978819256,0.0337772740655606,281907,1.25,General socio-cognitive,RCA ≥ 1.25
5,-0.57205401518073,SC_Specialized,0.0372829859479053,0.0366508861054603,0.0379204441620071,265939,1.25,General socio-cognitive,RCA ≥ 1.25
3,-2.06803862642912,SC_Specialized,0.0276314314538729,0.02701090524765,0.0282599644498535,249788,1.25,General socio-cognitive,RCA ≥ 1.25
2,-2.88282979680337,SC_Specialized,0.0230031651461553,0.0223747905417985,0.0236854170545522,214840,1.25,General socio-cognitive,RCA ≥ 1.25
1,-4.68844749231167,SC_Specialized,0.0126691765614442,0.0122497345303601,0.0130727869485472,258975,1.25,General socio-cognitive,RCA ≥ 1.25
7,0.861759087300788,SC_Specialized,0.0392676937741538,0.0383608587088285,0.0401565268294705,193034,1.25,General socio-cognitive,RCA ≥ 1.25
8,1.68512074777628,SC_Specialized,0.0357507202114759,0.0348683408509082,0.036700629423125,155857,1.25,General socio-cognitive,RCA ≥ 1.25
9,2.60985316263842,SC_Specialized,0.0317938224690636,0.0306430868167203,0.03281740231901,102630,1.25,General socio-cognitive,RCA ≥ 1.25
