domain,n,mean_cs,med_cs,sd_cs,min_cs,max_cs,pct_pos
Cognitive,97,10.293,10.135,1.737,6.638,13.814,100
Physical,63,-0.938,-3.553,5.921,-8.077,12.386,39.7
