flow,panel,measure,archetype,direction,coef,se,ci_lo,ci_hi,p
Adoption,Panel A — Source FE,Log Wage,Sensory-physical,up,-0.268141212217415,0.0526857318911837,-0.371405246724135,-0.164877177710694,3.59110209991711e-07
Adoption,Panel A — Source FE,Log Wage,General socio-cognitive,up,0.178335033638372,0.0435897004558973,0.0928992207448129,0.26377084653193,4.29110694047063e-05
Adoption,Panel A — Source FE,Log Wage,Specialized socio-cognitive,up,0.193607544883876,0.0469730091778024,0.101540446895383,0.285674642872369,3.76125246258911e-05
Adoption,Panel A — Source FE,Log Wage,Sensory-physical,down,-0.0769880287887294,0.0443261665377489,-0.163867315202717,0.00989125762525839,0.0824131472547728
Adoption,Panel A — Source FE,Log Wage,General socio-cognitive,down,0.00450987069352314,0.0487348011353632,-0.0910103395317887,0.100030080918835,0.926269791438941
Adoption,Panel A — Source FE,Log Wage,Specialized socio-cognitive,down,0.0612463588244476,0.0503140484734548,-0.0373691761835238,0.159861893832419,0.223497142490135
Adoption,Panel B — Target FE,Log Wage,Sensory-physical,up,-0.282255533533805,0.0414565267086692,-0.363510325882797,-0.201000741184814,9.86419021392212e-12
Adoption,Panel B — Target FE,Log Wage,General socio-cognitive,up,0.109332306980319,0.0281800528496017,0.0540994033950993,0.164565210565538,0.000104552487313007
Adoption,Panel B — Target FE,Log Wage,Specialized socio-cognitive,up,0.119867148059358,0.0343630688278346,0.0525155331568019,0.187218762961914,0.000486184085181916
Adoption,Panel B — Target FE,Log Wage,Sensory-physical,down,-0.0691057399191434,0.0306493696399407,-0.129178504413427,-0.00903297542485959,0.0241509234032171
Adoption,Panel B — Target FE,Log Wage,General socio-cognitive,down,0.0115934586600396,0.0247034196259002,-0.0368252438067247,0.060012161126804,0.63885105418176
Adoption,Panel B — Target FE,Log Wage,Specialized socio-cognitive,down,0.0825962348933184,0.0319918143439764,0.0198922787791246,0.145300191007512,0.00982885851076913
Adoption,Panel A — Source FE,Log Educ,Sensory-physical,up,-0.329064471617946,0.064738857527782,-0.455952632372399,-0.202176310863494,3.71614655885931e-07
Adoption,Panel A — Source FE,Log Educ,General socio-cognitive,up,0.248343131301766,0.0462613644289182,0.157670857021086,0.339015405582445,7.94989473933945e-08
Adoption,Panel A — Source FE,Log Educ,Specialized socio-cognitive,up,0.329596850336796,0.056452577862779,0.218949797725749,0.440243902947843,5.26814251906681e-09
Adoption,Panel A — Source FE,Log Educ,Sensory-physical,down,-0.118879921163179,0.0579221041813991,-0.232407245358721,-0.0053525969676364,0.0401298078170024
Adoption,Panel A — Source FE,Log Educ,General socio-cognitive,down,0.137561780737827,0.0581088984243971,0.0236683398260091,0.251455221649646,0.0179179138400909
Adoption,Panel A — Source FE,Log Educ,Specialized socio-cognitive,down,0.271302653469607,0.066671233830201,0.140627035162413,0.401978271776801,4.71624857071397e-05
Adoption,Panel B — Target FE,Log Educ,Sensory-physical,up,-0.346450354389475,0.0530782712844868,-0.450483766107069,-0.24241694267188,6.70285598030319e-11
Adoption,Panel B — Target FE,Log Educ,General socio-cognitive,up,0.154712391156482,0.0363805133693949,0.0834065849524684,0.226018197360496,2.11286723195497e-05
Adoption,Panel B — Target FE,Log Educ,Specialized socio-cognitive,up,0.209993602957641,0.0465496236917518,0.118756340521808,0.301230865393475,6.44688226339191e-06
Adoption,Panel B — Target FE,Log Educ,Sensory-physical,down,-0.204467147278548,0.0438604604284629,-0.290433649718336,-0.118500644838761,3.13509469927755e-06
Adoption,Panel B — Target FE,Log Educ,General socio-cognitive,down,-0.00290602333111852,0.0282854471724069,-0.0583454997890361,0.0525334531267991,0.918169985920979
Adoption,Panel B — Target FE,Log Educ,Specialized socio-cognitive,down,0.144317341178474,0.0411516070341349,0.0636601913915695,0.224974490965378,0.000453244802498558
Adoption,Panel A — Source FE,Cognitive,Sensory-physical,up,-0.680150054570642,0.0755783115320936,-0.828283545173546,-0.532016563967738,2.27211888074574e-19
Adoption,Panel A — Source FE,Cognitive,General socio-cognitive,up,0.0934449951843414,0.0575970382993786,-0.0194451998824406,0.206335190251123,0.10471936290024
Adoption,Panel A — Source FE,Cognitive,Specialized socio-cognitive,up,0.253868942544413,0.0599283619285996,0.136409353164358,0.371328531924468,2.27327285357573e-05
Adoption,Panel A — Source FE,Cognitive,Sensory-physical,down,-0.035374540840368,0.0732175960026945,-0.178881029005649,0.108131947324913,0.628994477122062
Adoption,Panel A — Source FE,Cognitive,General socio-cognitive,down,0.466666479952221,0.0679377157566633,0.333508557069161,0.599824402835281,6.46380973666298e-12
Adoption,Panel A — Source FE,Cognitive,Specialized socio-cognitive,down,0.639296741904488,0.0810833106975189,0.480373452937351,0.798220030871625,3.15941566096101e-15
Adoption,Panel B — Target FE,Cognitive,Sensory-physical,up,-0.375042207340646,0.0634411828335341,-0.499386925694372,-0.250697488986919,3.3869312726641e-09
Adoption,Panel B — Target FE,Cognitive,General socio-cognitive,up,0.354017341045363,0.0547751528745102,0.246658041411323,0.461376640679403,1.02578828257447e-10
Adoption,Panel B — Target FE,Cognitive,Specialized socio-cognitive,up,0.49142852082726,0.0618241934598116,0.37025310164603,0.612603940008491,1.88317663181568e-15
Adoption,Panel B — Target FE,Cognitive,Sensory-physical,down,-0.486701415016096,0.0699172758089406,-0.62373927560162,-0.349663554430573,3.37616865292544e-12
Adoption,Panel B — Target FE,Cognitive,General socio-cognitive,down,-0.0553122114431466,0.0316953448991027,-0.117435087445388,0.0068106645590947,0.0809638118241666
Adoption,Panel B — Target FE,Cognitive,Specialized socio-cognitive,down,0.127869561770958,0.0479183693825281,0.0339495577812027,0.221789565760713,0.00761936512789185
Abandonment,Panel A — Source FE,Log Wage,Sensory-physical,up,0.070535460723954,0.0508914550406438,-0.0292117911557079,0.170282712603616,0.165747479271702
Abandonment,Panel A — Source FE,Log Wage,General socio-cognitive,up,-0.270617411542815,0.0420670164346068,-0.353068763754644,-0.188166059330986,1.25103880410871e-10
Abandonment,Panel A — Source FE,Log Wage,Specialized socio-cognitive,up,-0.237932514709793,0.0426828962518912,-0.3215909913635,-0.154274038056086,2.48351750331333e-08
Abandonment,Panel A — Source FE,Log Wage,Sensory-physical,down,-0.0853959662459564,0.0380613902302739,-0.159996291097293,-0.0107956413946195,0.0248557279498162
Abandonment,Panel A — Source FE,Log Wage,General socio-cognitive,down,-0.222162399661163,0.0388360614669419,-0.298281080136369,-0.146043719185957,1.06199599196717e-08
Abandonment,Panel A — Source FE,Log Wage,Specialized socio-cognitive,down,-0.238305493476265,0.0439038594595622,-0.324357058017007,-0.152253928935523,5.70229004937489e-08
Abandonment,Panel B — Target FE,Log Wage,Sensory-physical,up,0.204474257736728,0.0415701209784894,0.122996820618888,0.285951694854567,8.70855138138909e-07
Abandonment,Panel B — Target FE,Log Wage,General socio-cognitive,up,-0.0963119789730478,0.0253793329639124,-0.146055471582316,-0.0465684863637795,0.000147704188673585
Abandonment,Panel B — Target FE,Log Wage,Specialized socio-cognitive,up,-0.059016828839154,0.0259392583874676,-0.10985777527859,-0.00817588239971759,0.0228943321159483
Abandonment,Panel B — Target FE,Log Wage,Sensory-physical,down,0.102830235440823,0.0254047786800611,0.0530368692279033,0.152623601653743,5.17293572683507e-05
Abandonment,Panel B — Target FE,Log Wage,General socio-cognitive,down,-0.0328727590573249,0.0207384402362199,-0.073520101920316,0.00777458380566613,0.112940795642029
Abandonment,Panel B — Target FE,Log Wage,Specialized socio-cognitive,down,-0.0530864370813469,0.0282264732745578,-0.10841032469948,0.00223745053678638,0.060008357618677
Abandonment,Panel A — Source FE,Log Educ,Sensory-physical,up,0.198375760667864,0.0541477557144,0.0922461594676399,0.304505361868088,0.00024869429026861
Abandonment,Panel A — Source FE,Log Educ,General socio-cognitive,up,-0.25527766413654,0.0541518317445486,-0.361415254355855,-0.149140073917224,2.42770100143419e-06
Abandonment,Panel A — Source FE,Log Educ,Specialized socio-cognitive,up,-0.297118489765488,0.0556127537572405,-0.40611948712968,-0.188117492401297,9.16065088754408e-08
Abandonment,Panel A — Source FE,Log Educ,Sensory-physical,down,0.0184639552019422,0.053058828110392,-0.085531347894426,0.12245925829831,0.727847500946398
Abandonment,Panel A — Source FE,Log Educ,General socio-cognitive,down,-0.297506574691105,0.0419015581014817,-0.379633628570009,-0.2153795208122,1.24638192929008e-12
Abandonment,Panel A — Source FE,Log Educ,Specialized socio-cognitive,down,-0.357022362341779,0.0433327038643122,-0.441954461915831,-0.272090262767728,1.73514828126919e-16
Abandonment,Panel B — Target FE,Log Educ,Sensory-physical,up,0.277874569824153,0.0528337174279232,0.174320483665424,0.381428655982883,1.4451256814958e-07
Abandonment,Panel B — Target FE,Log Educ,General socio-cognitive,up,-0.0926942850886708,0.0333700114948642,-0.158099507618605,-0.0272890625587369,0.00547330012229425
Abandonment,Panel B — Target FE,Log Educ,Specialized socio-cognitive,up,-0.122863537431741,0.0404383909330981,-0.202122783660613,-0.0436042912028691,0.00237925285675437
Abandonment,Panel B — Target FE,Log Educ,Sensory-physical,down,0.238890322752421,0.0454665770782564,0.149775831679038,0.328004813825804,1.48672217369537e-07
Abandonment,Panel B — Target FE,Log Educ,General socio-cognitive,down,-0.0706642489495212,0.0242841852478308,-0.11826125203527,-0.0230672458637728,0.00361558786596546
Abandonment,Panel B — Target FE,Log Educ,Specialized socio-cognitive,down,-0.133451591829953,0.0297689670977694,-0.191798767341581,-0.0751044163183247,7.36320873527301e-06
Abandonment,Panel A — Source FE,Cognitive,Sensory-physical,up,0.0320312909788456,0.073174842946088,-0.111391401195487,0.175453983153178,0.66157739297271
Abandonment,Panel A — Source FE,Cognitive,General socio-cognitive,up,-0.363204067273244,0.0551720182054682,-0.471341222955962,-0.255066911590526,4.60674172227989e-11
Abandonment,Panel A — Source FE,Cognitive,Specialized socio-cognitive,up,-0.516839948254076,0.0787551125864653,-0.671199968923548,-0.362479927584604,5.2870140113971e-11
Abandonment,Panel A — Source FE,Cognitive,Sensory-physical,down,0.27461777754524,0.0991796150170588,0.080225732111805,0.469009822978676,0.00562470418782657
Abandonment,Panel A — Source FE,Cognitive,General socio-cognitive,down,-0.333821574633939,0.058358812530795,-0.448204847194297,-0.21943830207358,1.06425617300558e-08
Abandonment,Panel A — Source FE,Cognitive,Specialized socio-cognitive,down,-0.396674138463327,0.0606406341001959,-0.515529781299711,-0.277818495626943,6.09489777390321e-11
Abandonment,Panel B — Target FE,Cognitive,Sensory-physical,up,0.130018414287819,0.0496504629392256,0.0327035069269364,0.227333321648701,0.00882720631242426
Abandonment,Panel B — Target FE,Cognitive,General socio-cognitive,up,-0.186323329601069,0.0471001850595368,-0.278639692317761,-0.0940069668843771,7.62490336767185e-05
Abandonment,Panel B — Target FE,Cognitive,Specialized socio-cognitive,up,-0.327321705953019,0.0686656286046786,-0.461906338018189,-0.192737073887849,1.87088580886923e-06
Abandonment,Panel B — Target FE,Cognitive,Sensory-physical,down,0.529666508859379,0.103958772456248,0.325907314845132,0.733425702873626,3.48802116745446e-07
Abandonment,Panel B — Target FE,Cognitive,General socio-cognitive,down,-0.0964116443647773,0.0326111257739841,-0.160329450881786,-0.0324938378477685,0.00311249673578539
Abandonment,Panel B — Target FE,Cognitive,Specialized socio-cognitive,down,-0.137483812318002,0.0357431848965871,-0.207540454715313,-0.0674271699206913,0.00011984924934242
