skill_name,mean_shift,se_shift,ci_lo,ci_hi,n_events,archetype,domain,zone
Sound Localization,0.43030303030303,0.0121719387815547,0.406446030291183,0.454160030314878,16335,Physical_Terminal,Physical,upward
Spatial Orientation,0.512327703358571,0.013157403950686,0.486539191615227,0.538116215101916,15453,Physical_Terminal,Physical,upward
Design,-0.428605454328927,0.0154005347800837,-0.458790502497891,-0.398420406159963,16794,Physical_Terminal,Physical,downward
Speed of Limb Movement,1.01064425770308,0.0119875505930985,0.987148658540608,1.03413985686555,12495,Physical_Terminal,Physical,upward
Fine Arts,-0.532021466905188,0.0169308172117049,-0.565205868640129,-0.498837065170246,13975,SC_Specialized,Cognitive,downward
Foreign Language,-0.714911731563791,0.0109337835915198,-0.73634194740317,-0.693481515724412,31948,SC_Scaffolding,Cognitive,downward
Processing Information,-1.1465404475043,0.0107369322213495,-1.16758483465815,-1.12549606035046,29050,SC_Specialized,Cognitive,downward
Updating and Using Relevant Knowledge,-0.981164119190984,0.00999619656366789,-1.00075666445577,-0.961571573926194,25908,SC_Specialized,Cognitive,downward
Near Vision,0.526581220395653,0.0104443590033569,0.506110276749074,0.547052164042233,35890,SC_Specialized,Cognitive,upward
Visual Color Discrimination,0.829508196721312,0.0128528712746929,0.804316569022913,0.85469982441971,23485,Physical_Terminal,Physical,upward
Far Vision,0.542929292929293,0.011642623092016,0.520109751668942,0.565748834189644,26136,Physical_Terminal,Physical,upward
History and Archeology,-0.606360671015843,0.0150234046130564,-0.635806544057434,-0.576914797974253,17168,SC_Scaffolding,Cognitive,downward
Sociology and Anthropology,-0.712978845054317,0.0140228848351163,-0.740463699331145,-0.685493990777489,17490,SC_Scaffolding,Cognitive,downward
"Identifying Objects, Actions, and Events",-0.367880995749848,0.00911497885143348,-0.385746354298658,-0.350015637201039,49410,SC_Scaffolding,Cognitive,downward
Science,-1.06243756243756,0.0201927542334602,-1.10201536073514,-1.02285976413998,8008,SC_Specialized,Cognitive,downward
Selective Attention,-0.314325730292117,0.0105968155883169,-0.335095488845218,-0.293555971739016,34986,Physical_Terminal,Physical,downward
Education and Training,-0.631725616291533,0.0117245513606501,-0.654705736958407,-0.608745495624659,27990,SC_Scaffolding,Cognitive,downward
Training and Teaching Others,-0.304484775761212,0.0104330099171458,-0.324933475198818,-0.284036076323606,40002,SC_Scaffolding,Cognitive,downward
Response Orientation,0.909176618478944,0.0119083872168648,0.885836179533889,0.932517057423999,15910,Physical_Terminal,Physical,upward
Evaluating Information to Determine Compliance with Standards,-0.552752293577982,0.00950700514207507,-0.571386023656449,-0.534118563499515,40112,SC_Scaffolding,Cognitive,downward
Food Production,0.0643292682926829,0.0151851201108381,0.0345664328754402,0.0940921037099256,16400,Physical_Terminal,Physical,lateral
Documenting/Recording Information,-0.683571666112404,0.0113878492970827,-0.705891850734687,-0.661251481490122,24056,SC_Specialized,Cognitive,downward
Quality Control Analysis,1.57980769230769,0.0181206555125964,1.544291207503,1.61532417711238,8320,Physical_Terminal,Physical,upward
Finger Dexterity,0.445861678004535,0.0111312591313178,0.424044410107152,0.467678945901918,24696,Physical_Terminal,Physical,upward
Biology,-0.519703977798335,0.0183704783910462,-0.555710115444786,-0.483697840151884,10810,SC_Specialized,Cognitive,downward
Repairing and Maintaining Electronic Equipment,0.205877455877456,0.0118078056926428,0.182734156719876,0.229020755035036,24024,Physical_Terminal,Physical,lateral
Repairing and Maintaining Mechanical Equipment,0.667923322683706,0.0126329765283654,0.64316268868811,0.692683956679302,15650,Physical_Terminal,Physical,upward
Equipment Maintenance,0.0966042154566745,0.0170131180296905,0.063258504118481,0.129949926794868,8540,Physical_Terminal,Physical,lateral
Equipment Selection,0.731846195069668,0.0150437323245707,0.702360479713509,0.761331910425826,14928,Physical_Terminal,Physical,upward
Repairing,0.211971830985916,0.0178742809023514,0.176938240417307,0.247005421554524,8520,Physical_Terminal,Physical,lateral
Troubleshooting,0.256048014773777,0.0164875990823238,0.223732320572422,0.288363708975131,10830,Physical_Terminal,Physical,upward
Chemistry,-0.461949405541298,0.0143845607809249,-0.490143144671911,-0.433755666410685,19093,Physical_Terminal,Physical,downward
Physics,-0.873075404658508,0.0129644089824873,-0.898485646264183,-0.847665163052833,20264,Physical_Terminal,Physical,downward
Wrist-Finger Speed,1.27674841053588,0.0103641638156413,1.25643464945722,1.29706217161453,22020,Physical_Terminal,Physical,upward
Operation and Control,1.26190476190476,0.0245284196153321,1.21382905945871,1.30998046435081,4368,Physical_Terminal,Physical,upward
Reaction Time,0.69481800251031,0.013546708925695,0.668266453015948,0.721369552004673,11154,Physical_Terminal,Physical,upward
Controlling Machines and Processes,0.717641899511339,0.0132654611030084,0.691641595749443,0.743642203273236,15962,Physical_Terminal,Physical,upward
Depth Perception,0.162003179650238,0.0132295134522818,0.136073333283766,0.187933026016711,12580,Physical_Terminal,Physical,lateral
Auditory Attention,0.5774516110169,0.0126920674733019,0.552575158769228,0.602328063264571,17101,Physical_Terminal,Physical,upward
Performing General Physical Activities,1.15695382882883,0.0138575158732229,1.12979309771731,1.18411455994035,14208,Physical_Terminal,Physical,upward
Explosive Strength,0.285246533127889,0.00841083456716872,0.268761297376238,0.30173176887954,31152,Physical_Terminal,Physical,upward
Dynamic Strength,0.774447717231222,0.0125491850679813,0.749851314497979,0.799044119964466,13580,Physical_Terminal,Physical,upward
