estimate,se,var,archetype,flow,panel,outcome,n,estimate_adj,outcome_role
-0.036926335824257,0.0292238283304566,pc1_dummy,SC_Specialized,adoption,B,diffusion_fixed_denom,20966392,-0.036926335824257,fixed_denom
-0.282648554392444,0.0388396432079349,pc1_up,Physical_Terminal,adoption,B,diffusion_fixed_denom,20966392,-0.282648554392444,fixed_denom
0.144275294786812,0.0293850473332979,pc1_up,SC_General,adoption,B,diffusion_fixed_denom,20966392,0.144275294786812,fixed_denom
0.168330525048799,0.0380682214240014,pc1_up,SC_Specialized,adoption,B,diffusion_fixed_denom,20966392,0.168330525048799,fixed_denom
-0.131731752587054,0.0364548846767587,pc1_down,Physical_Terminal,adoption,B,diffusion_fixed_denom,20966392,-0.131731752587054,fixed_denom
-0.00979378818951628,0.0199615681327816,pc1_down,SC_General,adoption,B,diffusion_fixed_denom,20966392,-0.00979378818951628,fixed_denom
0.10803366195155,0.0308504154223914,pc1_down,SC_Specialized,adoption,B,diffusion_fixed_denom,20966392,0.10803366195155,fixed_denom
-1.25561718136643,0.222937496151385,structural_distance,Physical_Terminal,adoption,B,diffusion_fixed_denom,20966392,-1.25561718136643,fixed_denom
-1.04236911331921,0.146175653582215,structural_distance,SC_General,adoption,B,diffusion_fixed_denom,20966392,-1.04236911331921,fixed_denom
-1.7540968311587,0.250025161963637,structural_distance,SC_Specialized,adoption,B,diffusion_fixed_denom,20966392,-1.7540968311587,fixed_denom
-0.0485227993347889,0.0126851007320535,pc1_dummy,Physical_Terminal,adoption,B,delta_importance,21546090,-0.0485227993347889,delta_importance
-0.0025738046985169,0.0054864954039104,pc1_dummy,SC_General,adoption,B,delta_importance,21546090,-0.0025738046985169,delta_importance
0.00470579756288432,0.0085140904829003,pc1_dummy,SC_Specialized,adoption,B,delta_importance,21546090,0.00470579756288432,delta_importance
-0.0159613967829101,0.00853214511799458,pc1_up,Physical_Terminal,adoption,B,delta_importance,21546090,-0.0159613967829101,delta_importance
0.0170353617726303,0.0101738219669036,pc1_up,SC_General,adoption,B,delta_importance,21546090,0.0170353617726303,delta_importance
0.0151879935196181,0.0125939126740694,pc1_up,SC_Specialized,adoption,B,delta_importance,21546090,0.0151879935196181,delta_importance
-0.034467365137478,0.0109003004713273,pc1_down,Physical_Terminal,adoption,B,delta_importance,21546090,-0.034467365137478,delta_importance
