flow,period,panel,coef,estimate,std_error,sig
adoption,2019–2021,Panel A,delta_Physical_Terminal,3.34586448865244,0.577970311437649,***
adoption,2019–2021,Panel B,b_up_SC_General,0.264819489402285,0.0527017443754959,***
adoption,2019–2021,Panel B,b_dn_SC_General,-0.00584094593906742,0.0610269341394496,ns
adoption,2019–2021,Panel B,kappa_SC_General,-0.0200490876442353,0.0560407034340991,ns
adoption,2019–2021,Panel B,delta_SC_General,-2.40238026065496,0.499445906217623,***
adoption,2019–2021,Panel B,b_up_SC_Specialized,0.24702443676099,0.0589536625597215,***
adoption,2019–2021,Panel B,b_dn_SC_Specialized,0.174574100264954,0.0784115894623903,*
adoption,2019–2021,Panel B,kappa_SC_Specialized,-0.127038774773683,0.0683333196142723,~
adoption,2019–2021,Panel B,delta_SC_Specialized,-2.10614860811015,0.632674490810242,***
adoption,2019–2021,Panel B,b_up_Physical_Terminal,-0.488220651602675,0.101686006168201,***
adoption,2019–2021,Panel B,b_dn_Physical_Terminal,-0.198000789632966,0.0499905350940621,***
adoption,2019–2021,Panel B,kappa_Physical_Terminal,0.24785241700445,0.0968923220931135,*
adoption,2019–2021,Panel B,delta_Physical_Terminal,-1.73247805884953,0.429696707916083,***
abandonment,2019–2021,Panel A,b_up_SC_General,-0.433869255969886,0.0730523117470689,***
abandonment,2019–2021,Panel A,b_dn_SC_General,-0.291549867686084,0.0722057345556725,***
abandonment,2019–2021,Panel A,kappa_SC_General,0.00995925696145953,0.0292574580650473,ns
abandonment,2019–2021,Panel A,delta_SC_General,1.10477713230939,0.286158659281476,***
abandonment,2019–2021,Panel A,b_up_SC_Specialized,-0.547505924940217,0.113703564377772,***
abandonment,2019–2021,Panel A,b_dn_SC_Specialized,-0.303322709691574,0.0730417768347167,***
abandonment,2019–2021,Panel A,kappa_SC_Specialized,-0.0603116177234931,0.0503269739344148,ns
abandonment,2019–2021,Panel A,delta_SC_Specialized,2.08589168307859,0.439018839314807,***
abandonment,2019–2021,Panel A,b_up_Physical_Terminal,0.186232725212912,0.0606301011051699,**
abandonment,2019–2021,Panel A,b_dn_Physical_Terminal,-0.0860923464053542,0.0887588516710922,ns
abandonment,2019–2021,Panel A,kappa_Physical_Terminal,0.262669551871367,0.070145276140874,***
abandonment,2019–2021,Panel A,delta_Physical_Terminal,1.20000634254127,0.438163734884747,**
abandonment,2019–2021,Panel B,b_up_SC_General,-0.147511945377892,0.069576305841812,*
abandonment,2019–2021,Panel B,b_dn_SC_General,-0.0215122009370083,0.0409609507248365,ns
abandonment,2019–2021,Panel B,kappa_SC_General,-0.0163993682669855,0.0290826521184148,ns
abandonment,2019–2021,Panel B,delta_SC_General,0.943868636366831,0.254872208412984,***
abandonment,2019–2021,Panel B,b_up_SC_Specialized,-0.247016782017468,0.0969321327797696,*
abandonment,2019–2021,Panel B,b_dn_SC_Specialized,-0.0422148529558763,0.0440875729585441,ns
abandonment,2019–2021,Panel B,kappa_SC_Specialized,-0.0631197222579627,0.0543940244462731,ns
abandonment,2019–2021,Panel B,delta_SC_Specialized,1.76511405455314,0.378854924603328,***
abandonment,2019–2021,Panel B,b_up_Physical_Terminal,0.389393035838426,0.0792911293975242,***
abandonment,2019–2021,Panel B,b_dn_Physical_Terminal,0.25755713379092,0.0551389984956476,***
abandonment,2019–2021,Panel B,kappa_Physical_Terminal,0.0752891205142701,0.0691083529075537,ns
abandonment,2019–2021,Panel B,delta_Physical_Terminal,1.98344039100813,0.521896988621882,***
adoption,2022–2024,Panel A,b_up_SC_General,0.299550834146144,0.0698788938531796,***
adoption,2022–2024,Panel A,b_dn_SC_General,0.025309532813265,0.0809694073627767,ns
adoption,2022–2024,Panel A,kappa_SC_General,-0.124074351684725,0.0528053221915586,*
adoption,2022–2024,Panel A,delta_SC_General,-2.22402540880327,0.340953210335495,***
adoption,2022–2024,Panel A,b_up_SC_Specialized,0.334209885852744,0.0782664855193545,***
adoption,2022–2024,Panel A,b_dn_SC_Specialized,0.0727426679640923,0.0944934387258458,ns
adoption,2022–2024,Panel A,kappa_SC_Specialized,-0.135384425720438,0.0678802899829394,*
adoption,2022–2024,Panel A,delta_SC_Specialized,-2.5684078646093,0.402696743865277,***
adoption,2022–2024,Panel A,b_up_Physical_Terminal,-0.202533261592076,0.0927093053634029,*
adoption,2022–2024,Panel A,b_dn_Physical_Terminal,-0.155284917671795,0.0705833064468268,*
adoption,2022–2024,Panel A,kappa_Physical_Terminal,0.0571050764207663,0.0876334543859093,ns
adoption,2022–2024,Panel A,delta_Physical_Terminal,-1.87974891445406,0.34240981094383,***
adoption,2022–2024,Panel B,b_up_SC_General,0.20963895177887,0.0755771796028968,**
adoption,2022–2024,Panel B,b_dn_SC_General,-0.00568244733956408,0.0510204454615697,ns
adoption,2022–2024,Panel B,kappa_SC_General,-0.0345241970165986,0.0528211660023148,ns
adoption,2022–2024,Panel B,delta_SC_General,-1.68189397722447,0.345887914083067,***
adoption,2022–2024,Panel B,b_up_SC_Specialized,0.235904554645471,0.0717507205943856,**
adoption,2022–2024,Panel B,b_dn_SC_Specialized,0.0413875589073389,0.0572123686796524,ns
adoption,2022–2024,Panel B,kappa_SC_Specialized,-0.0794739092754731,0.0633796783584179,ns
adoption,2022–2024,Panel B,delta_SC_Specialized,-1.91013888831395,0.427472837779079,***
adoption,2022–2024,Panel B,b_up_Physical_Terminal,-0.18820493905248,0.0675578030672099,**
adoption,2022–2024,Panel B,b_dn_Physical_Terminal,-0.194812199972376,0.0494347386653053,***
adoption,2022–2024,Panel B,kappa_Physical_Terminal,0.0547257785641422,0.07162984936571,ns
adoption,2022–2024,Panel B,delta_Physical_Terminal,-1.67765016327669,0.362530756246362,***
abandonment,2022–2024,Panel A,b_up_SC_General,-0.19121351134842,0.0741922540826939,*
abandonment,2022–2024,Panel A,b_dn_SC_General,-0.126987284967148,0.0838879340927534,ns
abandonment,2022–2024,Panel A,kappa_SC_General,-0.0656112347337784,0.0312781975297469,*
abandonment,2022–2024,Panel A,delta_SC_General,1.15159136931272,0.306315385006277,***
abandonment,2022–2024,Panel A,b_up_SC_Specialized,-0.346680538273629,0.11248130755264,**
abandonment,2022–2024,Panel A,b_dn_SC_Specialized,-0.178900818574629,0.0958669252871577,~
abandonment,2022–2024,Panel A,kappa_SC_Specialized,-0.147102317378119,0.0470937247919756,**
abandonment,2022–2024,Panel A,delta_SC_Specialized,2.38263638030294,0.532907983441772,***
abandonment,2022–2024,Panel A,b_up_Physical_Terminal,0.207933027178466,0.0834787541997492,*
abandonment,2022–2024,Panel A,b_dn_Physical_Terminal,0.0578601521820486,0.0829790144989195,ns
abandonment,2022–2024,Panel A,kappa_Physical_Terminal,0.263162948651839,0.0887846061483917,**
abandonment,2022–2024,Panel A,delta_Physical_Terminal,1.49470411991837,0.427554084825197,***
abandonment,2022–2024,Panel B,b_up_SC_General,-0.0828756940619402,0.0537511356673544,ns
abandonment,2022–2024,Panel B,b_dn_SC_General,-0.0220801959660588,0.0376572611570683,ns
abandonment,2022–2024,Panel B,kappa_SC_General,-0.0202594007187972,0.0264111691424564,ns
abandonment,2022–2024,Panel B,delta_SC_General,0.96146923531152,0.277114390869138,***
abandonment,2022–2024,Panel B,b_up_SC_Specialized,-0.208951054604258,0.0643695077268314,**
abandonment,2022–2024,Panel B,b_dn_SC_Specialized,-0.0942591286092506,0.0473876802446579,*
abandonment,2022–2024,Panel B,kappa_SC_Specialized,-0.0949915820087388,0.0503296812374897,~
abandonment,2022–2024,Panel B,delta_SC_Specialized,2.14429001199001,0.399816435520443,***
abandonment,2022–2024,Panel B,b_up_Physical_Terminal,0.256482482433732,0.0675987755412754,***
abandonment,2022–2024,Panel B,b_dn_Physical_Terminal,0.164471064304811,0.0558060508117054,**
abandonment,2022–2024,Panel B,kappa_Physical_Terminal,0.208795953989818,0.0688841154139662,**
abandonment,2022–2024,Panel B,delta_Physical_Terminal,1.98107469097754,0.473868450147067,***
